LGA name,Health Care Card,JobSeeker Payment,Low Income Card,Total Youth Allowance
Glen Eira (C),5346,2371,998,1136
Glenelg (S),1203,963,335,119
Golden Plains (S),1122,548,282,106
Greater Bendigo (C),7573,4476,1390,1335
Greater Dandenong (C),12086,6710,1738,2126
Greater Geelong (C),15640,8551,3385,2768
Greater Shepparton (C),4518,2885,740,619
Hepburn (S),905,577,268,78
Hindmarsh (S),302,254,72,38
Hobsons Bay (C),4594,2654,822,674
Horsham (RC),1158,650,281,155
Hume (C),20648,10915,2260,3359
Indigo (S),702,391,131,55
Kingston (C) (Vic.),6451,3328,1560,958
Knox (C),7900,3615,1872,1246
Latrobe (C) (Vic.),6021,4345,1221,742
Loddon (S),477,437,83,45
Macedon Ranges (S),1899,820,477,202
Manningham (C),5456,2095,1325,940
Mansfield (S),410,215,100,26
Maribyrnong (C),5401,3447,803,1036
Maroondah (C),5448,2573,1194,709
Melbourne (C),9146,4287,1087,3254
Melton (C),12794,5983,1465,1772
Mildura (RC),4026,2605,484,454
Mitchell (S),2753,1672,459,293
Moira (S),1641,1093,351,161
Monash (C),9050,3408,2040,2246
Moonee Valley (C),5608,2891,1156,1028
Moorabool (S),1912,1034,378,212
Moreland (C),10163,5202,1577,2114
Mornington Peninsula (S),6946,3913,1756,714
Mount Alexander (S),1004,615,267,91
Moyne (S),898,454,230,79
Murrindindi (S),709,486,190,61
Nillumbik (S),2186,882,621,331
Northern Grampians (S),713,546,186,53
Port Phillip (C),4114,3004,638,762
Pyrenees (S),448,336,109,41
Queenscliffe (B),107,43,48,7
South Gippsland (S),1535,890,491,123
Southern Grampians (S),857,585,225,81
Stonnington (C),3468,1732,525,1020
Strathbogie (S),560,393,151,43
Surf Coast (S),1321,583,346,175
Swan Hill (RC),1188,760,207,120
Towong (S),313,203,51,26
Wangaratta (RC),1479,905,318,175
Warrnambool (C),2009,1206,535,287
Wellington (S),2837,1847,758,258
West Wimmera (S),163,145,26,13
Whitehorse (C),7638,3062,1814,1605
Whittlesea (C),14464,7516,2094,2368
Wodonga (C),2512,1468,360,349
Wyndham (C),19636,8175,2287,2655
Yarra (C),4581,2810,635,1260
Yarra Ranges (S),7088,3764,1617,873
Yarriambiack (S),345,288,60,31
Unincorporated Vic,24,17,9,0
Aurukun (S),460,370,5,39
Balonne (S),264,170,9,21
Banana (S),618,420,46,59
Barcaldine (R),125,68,5,14
Barcoo (S),13,8,0,0
Blackall-Tambo (R),83,55,9,10
Boulia (S),50,35,0,0
Brisbane (C),59686,33324,4923,15305
Bulloo (S),10,9,0,0
Bundaberg (R),6950,5502,847,913
Burdekin (S),868,736,70,98
Burke (S),41,32,0,10
Cairns (R),12413,8693,698,1674
Carpentaria (S),295,255,5,32
Cassowary Coast (R),2013,1720,154,184
Central Highlands (R) (Qld),1153,801,81,131
Charters Towers (R),699,564,41,86
Cherbourg (S),323,235,6,58
Cloncurry (S),242,174,5,23
Cook (S),512,414,17,43
Croydon (S),36,20,0,5
Diamantina (S),10,11,5,0
Doomadgee (S),467,322,0,48
Douglas (S),993,825,82,78
Etheridge (S),35,27,0,0
Flinders (S) (Qld),85,69,0,11
Fraser Coast (R),7850,6739,1010,1076
Gladstone (R),4300,3512,404,556
Gold Coast (C),33984,21315,2340,6371
Goondiwindi (R),590,340,37,66
Gympie (R),3971,3229,396,494
Hinchinbrook (S),632,545,76,71
Hope Vale (S),313,213,10,49
Ipswich (C),16313,10259,1032,2687
Isaac (R),467,333,26,32
Kowanyama (S),388,285,0,71
Livingstone (S),1645,1241,259,166
Lockhart River (S),158,103,0,16
Lockyer Valley (R),2672,1802,197,503
Logan (C),25531,15970,1563,4073
Longreach (R),164,118,13,14
Mackay (R),5466,4007,483,629
McKinlay (S),38,16,0,0
Mapoon (S),67,43,0,9
Maranoa (R),578,376,42,60
Mareeba (S),1878,1540,84,181
Moreton Bay (R),26640,17347,2396,4123
Mornington (S),274,220,0,24
Mount Isa (C),1494,1007,35,203
Murweh (S),222,193,20,21
Napranum (S),262,221,0,41
Noosa (S),2367,1994,283,279
North Burnett (R),751,624,63,79
Northern Peninsula Area (R),555,364,5,78
Palm Island (S),655,436,9,85
Paroo (S),177,133,5,24
Pormpuraaw (S),253,209,5,14
Quilpie (S),45,33,0,5
Redland (C),6906,4647,738,923
Richmond (S),31,23,0,0
Rockhampton (R),5508,3899,418,676
Scenic Rim (R),2249,1692,222,281
Somerset (R),1583,1266,145,167
South Burnett (R),2429,1868,225,279
Southern Downs (R),2239,1634,261,255
Sunshine Coast (R),16940,10957,1710,2954
Tablelands (R),1677,1386,117,160
Toowoomba (R),10170,6142,890,1665
Torres (S),455,207,6,47
Torres Strait Island (R),1268,620,6,94
Townsville (C),12643,8272,844,2358
Weipa (T),141,83,6,12
Western Downs (R),2111,1449,136,282
Whitsunday (R),1885,1644,153,156
Winton (S),39,23,5,0
Woorabinda (S),311,232,8,42
Wujal Wujal (S),117,85,5,9
Yarrabah (S),847,578,9,150
Adelaide (C),1927,1178,129,814
Adelaide Hills (DC),1344,681,197,225
Adelaide Plains (DC),534,413,46,77
Alexandrina (DC),1455,1190,221,180
Anangu Pitjantjatjara (AC),622,534,5,67
Barossa (DC),1027,687,146,115
Barunga West (DC),108,140,17,12
Berri and Barmera (DC),700,575,71,105
Burnside (C),1475,673,159,353
Campbelltown (C) (SA),2544,1459,280,543
Ceduna (DC),379,276,7,34
Charles Sturt (C),5899,4273,635,1246
Clare and Gilbert Valleys (DC),387,312,43,37
Cleve (DC),111,44,0,10
Coober Pedy (DC),233,273,0,23
Copper Coast (DC),1061,937,193,90
Elliston (DC),80,55,9,0
Flinders Ranges (DC),102,91,9,10
Franklin Harbour (DC),70,55,8,5
Gawler (T),1478,1075,155,261
Goyder (DC),306,222,27,22
Grant (DC),293,214,44,25
Holdfast Bay (C),1409,893,182,301
Kangaroo Island (DC),218,184,26,14
Karoonda East Murray (DC),69,57,5,10
Kimba (DC),80,16,5,10
Kingston (DC) (SA),73,83,11,10
Light (RegC),767,384,69,145
Lower Eyre Peninsula (DC),234,164,28,21
Loxton Waikerie (DC),610,487,54,53
Maralinga Tjarutja (AC),25,18,0,0
Marion (C),5317,3378,608,1311
Mid Murray (DC),621,599,87,43
Mitcham (C),2665,1241,306,767
Mount Barker (DC),1892,1069,202,315
Mount Gambier (C),1785,1290,262,259
Mount Remarkable (DC),174,130,19,9
Murray Bridge (RC),1613,1351,166,185
Naracoorte and Lucindale (DC),361,255,36,24
Northern Areas (DC),220,200,24,17
Norwood Payneham St Peters (C),1485,892,149,369
Onkaparinga (C),11155,7785,1186,1969
Orroroo/Carrieton (DC),72,25,5,5
Peterborough (DC),156,167,8,17
Playford (C),9497,6968,691,1689
Port Adelaide Enfield (C),8401,6027,720,1784
Port Augusta (C),1287,1143,90,167
Port Lincoln (C),1013,848,83,122
Port Pirie City and Dists (M),1385,1190,178,218
Prospect (C),879,538,88,221
Renmark Paringa (DC),600,516,47,83
Robe (DC),44,31,6,0
Roxby Downs (M),93,61,5,7
Salisbury (C),11520,7661,900,2288
Southern Mallee (DC),85,60,8,5
Streaky Bay (DC),119,104,13,10
Tatiara (DC),239,143,19,28
Tea Tree Gully (C),4611,2737,483,854
The Coorong (DC),336,306,28,32
Tumby Bay (DC),127,84,24,5
Unley (C),1392,707,166,350
Victor Harbor (C),838,656,151,111
Wakefield (DC),467,350,46,43
Walkerville (M),262,169,26,65
Wattle Range (DC),644,551,105,84
West Torrens (C),2927,1855,298,764
Whyalla (C),1823,1702,193,291
Wudinna (DC),49,28,5,5
Yankalilla (DC),300,278,53,21
Yorke Peninsula (DC),628,591,118,41
Unincorporated SA,339,335,6,35
Albany (C),1984,1382,253,236
Armadale (C),5593,3791,479,852
Ashburton (S),208,162,0,18
Augusta-Margaret River (S),737,492,101,50
Bassendean (T),809,558,73,115
Bayswater (C),3559,2319,404,632
Belmont (C),2565,1680,205,450
Beverley (S),90,76,13,0
Boddington (S),88,72,10,5
Boyup Brook (S),58,45,6,5
Bridgetown-Greenbushes (S),239,172,48,17
Brookton (S),61,42,5,9
Broome (S),1669,1164,50,197
Broomehill-Tambellup (S),74,53,0,8
Bruce Rock (S),44,36,0,0
Bunbury (C),2001,1726,255,268
Busselton (C),1665,1092,264,164
Cambridge (T),571,245,46,173
Canning (C),4962,2435,500,1129
Capel (S),776,461,113,86
Carnamah (S),31,40,0,5
Carnarvon (S),667,575,21,93
Chapman Valley (S),67,53,5,5
Chittering (S),212,104,23,13
Claremont (T),283,122,23,99
Cockburn (C),5240,3300,540,946
Collie (S),621,570,65,56
Coolgardie (S),231,201,12,19
Coorow (S),59,55,6,10
Corrigin (S),43,31,0,0
Cottesloe (T),143,62,14,53
Cranbrook (S),49,35,0,5
Cuballing (S),49,30,13,0
Cue (S),28,33,5,0
Cunderdin (S),58,45,5,0
Dalwallinu (S),45,24,5,5
Dandaragan (S),162,140,27,10
Dardanup (S),609,381,99,74
Denmark (S),319,246,48,13
Derby-West Kimberley (S),1946,1476,18,255
Donnybrook-Balingup (S),285,205,49,21
Dowerin (S),42,27,5,6
Dumbleyung (S),42,31,0,0
Dundas (S),69,66,5,0
East Fremantle (T),212,124,25,41
East Pilbara (S),610,450,9,72
Esperance (S),659,431,52,64
Exmouth (S),130,122,9,0
Fremantle (C),1628,1312,175,323
Gingin (S),196,180,17,13
Gnowangerup (S),72,50,0,16
Goomalling (S),54,35,5,10
Gosnells (C),8389,4941,712,1401
Greater Geraldton (C),2778,2093,165,328
Halls Creek (S),1004,676,5,152
Harvey (S),1248,851,216,110
Irwin (S),168,183,24,16
Jerramungup (S),44,24,8,5
Joondalup (C),5492,2956,735,1020
Kalamunda (C),2337,1389,258,343
Kalgoorlie/Boulder (C),1353,959,54,137
Karratha (C),1075,793,15,125
Katanning (S),343,227,18,30
Kellerberrin (S),79,77,0,8
Kent (S),6,5,0,5
Kojonup (S),96,74,7,0
Kondinin (S),38,35,0,10
Koorda (S),21,17,0,5
Kulin (S),25,9,0,0
Kwinana (C),2905,1983,247,439
Lake Grace (S),36,9,5,5
Laverton (S),123,117,0,14
Leonora (S),122,98,0,14
Mandurah (C),5129,4001,644,653
Manjimup (S),437,332,55,37
Meekatharra (S),246,172,0,34
Melville (C),3408,1651,425,876
Menzies (S),25,27,0,0
Merredin (S),192,161,13,19
Mingenew (S),15,20,0,5
Moora (S),171,123,12,15
Morawa (S),69,48,0,9
Mosman Park (T),268,165,20,68
Mount Magnet (S),99,85,7,14
Mount Marshall (S),21,12,5,5
Mukinbudin (S),18,13,0,5
Mundaring (S),1440,927,170,170
Murchison (S),5,0,0,0
Murray (S),1004,770,144,103
Nannup (S),74,78,11,5
Narembeen (S),23,15,0,5
Narrogin (S),316,229,26,38
Nedlands (C),498,176,50,187
Ngaanyatjarraku (S),524,475,0,55
Northam (S),837,672,51,100
Northampton (S),185,184,20,7
Nungarin (S),16,10,0,5
Peppermint Grove (S),21,9,5,7
Perenjori (S),15,15,0,0
Perth (C),2034,1181,116,619
Pingelly (S),94,95,5,11
Plantagenet (S),362,252,39,23
Port Hedland (T),1078,824,19,121
Quairading (S),64,60,5,6
Ravensthorpe (S),75,70,5,5
Rockingham (C),7219,4806,701,961
Sandstone (S),5,5,0,0
Serpentine-Jarrahdale (S),1278,702,122,148
Shark Bay (S),53,48,0,0
South Perth (C),1772,895,171,568
Stirling (C),10362,6576,1026,1945
Subiaco (C),501,317,49,151
Swan (C),9058,5429,782,1343
Tammin (S),39,33,0,10
Three Springs (S),38,37,0,5
Toodyay (S),264,196,24,24
Trayning (S),16,18,5,5
Upper Gascoyne (S),10,8,0,0
Victoria Park (T),1937,1162,176,514
Victoria Plains (S),28,18,6,5
Vincent (C),1490,916,147,379
Wagin (S),112,97,5,16
Wandering (S),10,16,5,0
Wanneroo (C),11243,6644,1090,1788
Waroona (S),222,204,27,18
West Arthur (S),44,26,7,5
Westonia (S),5,5,0,0
Wickepin (S),42,33,0,5
Williams (S),21,20,0,5
Wiluna (S),108,86,0,11
Wongan-Ballidu (S),63,61,6,5
Woodanilling (S),27,17,0,10
Wyalkatchem (S),25,27,0,5
Wyndham-East Kimberley (S),1017,734,13,140
Yalgoo (S),53,42,0,0
Yilgarn (S),43,60,0,5
York (S),220,168,16,25
Break O'Day (M),535,542,116,46
Brighton (M),1483,991,134,256
Burnie (C),1458,1099,236,234
Central Coast (M) (Tas.),1259,828,267,135
Central Highlands (M) (Tas.),161,147,22,19
Circular Head (M),442,317,74,43
Clarence (C),2966,1714,470,565
Derwent Valley (M),808,614,112,119
Devonport (C),1737,1279,298,291
Dorset (M),475,365,92,45
Flinders (M) (Tas.),49,41,0,5
George Town (M),660,501,112,80
Glamorgan/Spring Bay (M),246,189,61,18
Glenorchy (C),3430,2422,406,616
Hobart (C),2750,1397,386,968
Huon Valley (M),1247,902,250,147
Kentish (M),381,272,91,27
King Island (M),51,37,8,0
Kingborough (M),1771,883,330,310
Latrobe (M) (Tas.),600,390,155,56
Launceston (C),5098,3478,642,938
Meander Valley (M),1025,700,184,133
Northern Midlands (M),728,531,135,89
Sorell (M),957,629,168,142
Southern Midlands (M),404,261,50,57
Tasman (M),152,141,33,17
Waratah/Wynyard (M),836,636,157,103
West Coast (M),331,398,34,22
West Tamar (M),1294,814,273,160
Alice Springs (T),2972,2090,48,297
Barkly (R),1597,1166,11,198
Belyuen (S),79,66,0,10
Central Desert (R),1130,751,0,126
Coomalie (S),151,138,0,6
Darwin (C),4074,2684,133,515
East Arnhem (R),3092,2248,5,375
Katherine (T),1385,999,17,178
Litchfield (M),891,759,40,71
MacDonnell (R),1664,1222,5,215
Palmerston (C),2368,1414,90,263
Roper Gulf (R),1934,1338,7,261
Tiwi Islands (R),879,669,0,97
Victoria Daly (R),613,376,5,81
Wagait (S),24,23,5,5
West Arnhem (R),2073,1624,5,279
West Daly (R),1188,771,5,191
Unincorporated NT,497,372,10,53
Unincorporated ACT,14698,7047,1372,3735
Unincorp. Other Territories,127,95,5,13
Albury (C),3069,2175,307,633
Armidale Regional (A),2501,1321,135,799
Ballina (A),2074,1472,205,266
Balranald (A),79,48,13,5
Bathurst Regional (A),2134,1261,155,481
Bayside (A),6734,4090,604,1396
Bega Valley (A),1638,1364,217,213
Bellingen (A),841,725,78,83
Berrigan (A),420,314,79,30
Blacktown (C),20955,12600,1418,4052
Bland (A),195,159,12,20
Blayney (A),288,197,25,32
Blue Mountains (C),2915,1832,320,413
Bogan (A),146,93,14,10
Bourke (A),288,218,6,48
Brewarrina (A),189,173,6,18
Broken Hill (C),1050,995,79,183
Burwood (A),1409,852,113,405
Byron (A),2415,2052,202,253
Cabonne (A),503,316,38,57
Camden (A),4749,2140,281,699
Campbelltown (C) (NSW),11871,7165,735,2148
Canada Bay (A),2069,1084,182,474
Canterbury-Bankstown (A),26164,14916,1648,5816
Carrathool (A),121,85,10,7
Central Coast (C) (NSW),17053,12325,1434,2605
Central Darling (A),183,176,0,34
Cessnock (C),3641,2763,288,527
Clarence Valley (A),3336,3027,395,456
Cobar (A),127,108,10,26
Coffs Harbour (C),4613,3866,408,805
Coolamon (A),185,144,20,22
Coonamble (A),369,266,11,56
Cootamundra-Gundagai Regional (A),493,381,51,54
Cowra (A),728,617,53,96
Cumberland (A),16388,9313,933,3325
Dubbo Regional (A),3082,2078,208,418
Dungog (A),422,294,43,62
Edward River (A),457,322,35,48
Eurobodalla (A),2007,1708,274,223
Fairfield (C),17661,13965,1043,4382
Federation (A),586,462,111,57
Forbes (A),502,328,38,49
Georges River (A),6102,3482,606,1419
Gilgandra (A),331,229,13,34
Glen Innes Severn (A),655,582,71,88
Goulburn Mulwaree (A),1485,1147,123,232
Greater Hume Shire (A),472,263,46,51
Griffith (C),995,679,57,149
Gunnedah (A),662,513,38,99
Gwydir (A),314,208,21,29
Hawkesbury (C),2428,1687,208,366
Hay (A),134,106,16,23
Hilltops (A),944,741,83,102
Hornsby (A),4084,1794,433,982
Hunters Hill (A),221,119,19,53
Inner West (A),6324,4392,516,1690
Inverell (A),1318,908,94,202
Junee (A),242,162,26,31
Kempsey (A),2250,1795,199,360
Kiama (A),665,350,101,107
Ku-ring-gai (A),2618,844,239,661
Kyogle (A),749,709,70,74
Lachlan (A),479,302,28,51
Lake Macquarie (C),9386,6338,994,1652
Lane Cove (A),725,341,56,174
Leeton (A),526,412,47,62
Lismore (C),3375,2826,315,524
Lithgow (C),1092,904,119,123
Liverpool (C),16208,9952,965,3645
Liverpool Plains (A),421,368,23,52
Lockhart (A),129,72,8,12
Maitland (C),4756,2868,448,685
Mid-Coast (A),5591,4912,633,744
Mid-Western Regional (A),1210,875,113,155
Moree Plains (A),968,708,35,134
Mosman (A),383,203,31,92
Murray River (A),579,324,140,49
Murrumbidgee (A),151,98,14,25
Muswellbrook (A),950,719,60,137
Nambucca (A),1422,1345,127,197
Narrabri (A),726,558,46,87
Narrandera (A),320,277,22,33
Narromine (A),387,290,16,52
Newcastle (C),10095,5925,721,3483
North Sydney (A),1243,714,86,312
Northern Beaches (A),5078,2751,400,1001
Oberon (A),209,147,14,10
Orange (C),2062,1283,146,403
Parkes (A),908,622,73,122
Parramatta (C),10766,5688,939,2497
Penrith (C),10940,6742,741,1771
Port Macquarie-Hastings (A),4936,3233,431,865
Port Stephens (A),3908,2853,406,572
Queanbeyan-Palerang Regional (A),1708,1148,146,201
Randwick (C),4146,2214,321,1297
Richmond Valley (A),1593,1208,157,238
Ryde (C),4415,2060,443,1217
Shellharbour (C),3448,2550,395,555
Shoalhaven (C),5112,3939,589,668
Singleton (A),960,664,83,113
Snowy Monaro Regional (A),784,593,91,84
Snowy Valleys (A),685,502,61,72
Strathfield (A),1670,901,123,423
Sutherland Shire (A),5571,2981,532,987
Sydney (C),7619,5412,594,2377
Tamworth Regional (A),3689,2582,238,555
Temora (A),261,180,37,35
Tenterfield (A),572,539,50,55
The Hills Shire (A),5194,1850,522,1161
Tweed (A),5060,3959,559,698
Upper Hunter Shire (A),589,440,50,53
Upper Lachlan Shire (A),308,190,46,35
Uralla (A),314,199,39,41
Wagga Wagga (C),3938,2077,305,1069
Walcha (A),148,101,10,17
Walgett (A),713,639,22,110
Warren (A),213,178,10,25
Warrumbungle Shire (A),622,511,29,74
Waverley (A),1373,816,88,277
Weddin (A),175,145,18,20
Wentworth (A),470,343,59,43
Willoughby (C),1656,754,155,424
Wingecarribee (A),1447,814,162,209
Wollondilly (A),1902,1010,153,257
Wollongong (C),11044,7009,1025,3254
Woollahra (A),928,479,46,252
Yass Valley (A),493,287,50,66
Unincorporated NSW,45,29,5,5
Alpine (S),601,324,148,51
Ararat (RC),707,531,190,85
Ballarat (C),7365,4245,1595,1360
Banyule (C),5555,2637,1323,1089
Bass Coast (S),2255,1583,741,187
Baw Baw (S),3146,1720,863,359
Bayside (C),2525,1107,588,499
Benalla (RC),740,519,162,85
Boroondara (C),5582,1681,1115,1793
Brimbank (C),15861,9660,2525,2874
Buloke (S),301,234,48,29
Campaspe (S),2161,1449,501,224
Cardinia (S),6381,2926,1123,873
Casey (C),23288,10269,3517,3840
Central Goldfields (S),1074,882,289,121
Colac-Otway (S),1133,693,333,118
Corangamite (S),792,519,236,65
Darebin (C),8331,4847,1510,1865
East Gippsland (S),3366,2326,967,291
Frankston (C),7410,4973,1432,1040
Gannawarra (S),564,417,117,51
Glen Eira (C),5401,2260,1050,1239
Glenelg (S),1224,969,354,131
Golden Plains (S),1133,545,301,118
Greater Bendigo (C),7606,4415,1520,1464
Greater Dandenong (C),11931,6672,1839,2341
Greater Geelong (C),15963,8457,3724,3141
Greater Shepparton (C),4490,2964,763,652
Hepburn (S),916,590,290,78
Hindmarsh (S),284,240,67,33
Hobsons Bay (C),4481,2589,854,713
Horsham (RC),1148,652,301,175
Hume (C),20170,10753,2358,3633
Indigo (S),688,380,145,60
Kingston (C) (Vic.),6384,3153,1623,1070
Knox (C),7923,3529,2038,1369
Latrobe (C) (Vic.),6021,4421,1346,770
Loddon (S),470,442,91,44
Macedon Ranges (S),1966,827,510,234
Manningham (C),5456,1909,1405,1065
Mansfield (S),397,215,117,24
Maribyrnong (C),5327,3366,866,1164
Maroondah (C),5355,2550,1267,809
Melbourne (C),9126,4050,1103,3706
Melton (C),12671,5857,1653,1955
Mildura (RC),3890,2638,514,450
Mitchell (S),2644,1586,496,285
Moira (S),1624,1080,372,156
Monash (C),9114,3142,2162,2476
Moonee Valley (C),5535,2811,1265,1085
Moorabool (S),1930,1024,405,236
Moreland (C),10038,4861,1716,2247
Mornington Peninsula (S),6982,3850,1888,771
Mount Alexander (S),1035,608,294,76
Moyne (S),856,437,233,75
Murrindindi (S),738,480,212,74
Nillumbik (S),2207,811,653,376
Northern Grampians (S),718,534,205,59
Port Phillip (C),4065,2931,688,843
Pyrenees (S),427,338,115,47
Queenscliffe (B),103,42,53,6
South Gippsland (S),1546,882,532,137
Southern Grampians (S),802,570,226,77
Stonnington (C),3475,1616,557,1102
Strathbogie (S),562,392,159,50
Surf Coast (S),1325,560,371,185
Swan Hill (RC),1178,793,215,121
Towong (S),297,199,52,22
Wangaratta (RC),1462,908,331,174
Warrnambool (C),2056,1213,592,317
Wellington (S),2888,1816,848,268
West Wimmera (S),171,155,32,10
Whitehorse (C),7825,2918,1909,1870
Whittlesea (C),14487,7400,2297,2657
Wodonga (C),2509,1457,397,348
Wyndham (C),19210,8079,2348,2834
Yarra (C),4626,2652,677,1376
Yarra Ranges (S),7098,3601,1771,964
Yarriambiack (S),333,293,70,33
Unincorporated Vic,29,17,10,5
Aurukun (S),469,414,0,51
Balonne (S),265,176,13,21
Banana (S),608,443,48,59
Barcaldine (R),124,75,6,10
Barcoo (S),12,9,0,0
Blackall-Tambo (R),85,61,12,6
Boulia (S),53,32,5,0
Brisbane (C),58709,31101,5311,16415
Bulloo (S),11,7,0,5
Bundaberg (R),6711,5288,881,880
Burdekin (S),857,757,80,109
Burke (S),50,41,0,10
Cairns (R),12153,8705,776,1791
Carpentaria (S),274,233,5,30
Cassowary Coast (R),2030,1794,169,208
Central Highlands (R) (Qld),1155,814,86,125
Charters Towers (R),703,579,41,95
Cherbourg (S),315,241,9,66
Cloncurry (S),223,175,5,28
Cook (S),518,443,22,41
Croydon (S),31,16,0,5
Diamantina (S),12,9,0,0
Doomadgee (S),467,344,0,57
Douglas (S),956,801,96,87
Etheridge (S),27,19,5,0
Flinders (S) (Qld),78,65,0,13
Fraser Coast (R),7719,6490,1151,1048
Gladstone (R),4179,3373,443,542
Gold Coast (C),32894,19727,2574,6517
Goondiwindi (R),568,348,45,67
Gympie (R),3744,2952,419,500
Hinchinbrook (S),628,554,78,75
Hope Vale (S),306,212,10,50
Ipswich (C),15821,9913,1126,2654
Isaac (R),480,362,33,33
Kowanyama (S),375,294,0,63
Livingstone (S),1626,1184,274,165
Lockhart River (S),163,105,5,21
Lockyer Valley (R),2707,1727,227,569
Logan (C),25094,15302,1723,4205
Longreach (R),159,105,13,16
Mackay (R),5459,4130,547,641
McKinlay (S),33,15,5,5
Mapoon (S),62,41,0,8
Maranoa (R),584,375,59,70
Mareeba (S),1880,1626,90,196
Moreton Bay (R),26273,16582,2632,4266
Mornington (S),267,234,0,25
Mount Isa (C),1488,1075,37,206
Murweh (S),211,192,19,21
Napranum (S),241,199,0,33
Noosa (S),2235,1828,299,287
North Burnett (R),755,625,68,77
Northern Peninsula Area (R),517,335,0,66
Palm Island (S),643,452,8,101
Paroo (S),173,129,0,26
Pormpuraaw (S),253,211,5,23
Quilpie (S),46,32,5,6
Redland (C),6771,4474,815,973
Richmond (S),35,24,0,0
Rockhampton (R),5372,3797,461,736
Scenic Rim (R),2205,1665,234,284
Somerset (R),1539,1228,155,184
South Burnett (R),2391,1841,230,288
Southern Downs (R),2203,1620,280,248
Sunshine Coast (R),16611,10270,1953,3031
Tablelands (R),1654,1432,137,166
Toowoomba (R),9957,6002,1002,1650
Torres (S),445,221,6,52
Torres Strait Island (R),1273,640,0,95
Townsville (C),12601,8325,962,2525
Weipa (T),137,76,5,13
Western Downs (R),2117,1474,143,257
Whitsunday (R),1814,1616,165,152
Winton (S),36,23,5,0
Woorabinda (S),281,207,7,39
Wujal Wujal (S),115,96,5,7
Yarrabah (S),848,642,11,142
Adelaide (C),2075,1199,142,964
Adelaide Hills (DC),1348,666,197,244
Adelaide Plains (DC),550,425,47,80
Alexandrina (DC),1467,1224,248,183
Anangu Pitjantjatjara (AC),630,555,5,62
Barossa (DC),1010,669,152,129
Barunga West (DC),105,131,17,10
Berri and Barmera (DC),673,576,82,94
Burnside (C),1537,635,163,432
Campbelltown (C) (SA),2563,1409,303,598
Ceduna (DC),343,249,9,34
Charles Sturt (C),5973,4211,683,1402
Clare and Gilbert Valleys (DC),398,303,54,44
Cleve (DC),106,46,0,11
Coober Pedy (DC),211,270,5,29
Copper Coast (DC),1074,960,212,105
Elliston (DC),86,51,9,10
Flinders Ranges (DC),96,88,9,0
Franklin Harbour (DC),70,52,10,0
Gawler (T),1492,1090,168,281
Goyder (DC),315,237,28,30
Grant (DC),290,212,52,26
Holdfast Bay (C),1400,863,194,327
Kangaroo Island (DC),205,193,28,14
Karoonda East Murray (DC),70,55,9,10
Kimba (DC),69,16,7,0
Kingston (DC) (SA),75,83,13,0
Light (RegC),799,385,89,160
Lower Eyre Peninsula (DC),228,154,34,14
Loxton Waikerie (DC),618,499,62,58
Maralinga Tjarutja (AC),26,21,0,0
Marion (C),5323,3352,679,1385
Mid Murray (DC),609,612,81,56
Mitcham (C),2766,1167,330,891
Mount Barker (DC),1883,1046,225,330
Mount Gambier (C),1778,1340,285,250
Mount Remarkable (DC),172,134,20,12
Murray Bridge (RC),1593,1380,179,215
Naracoorte and Lucindale (DC),349,261,41,26
Northern Areas (DC),219,199,28,17
Norwood Payneham St Peters (C),1493,862,153,407
Onkaparinga (C),11106,7738,1271,2064
Orroroo/Carrieton (DC),72,20,5,10
Peterborough (DC),152,167,10,12
Playford (C),9562,7181,755,1848
Port Adelaide Enfield (C),8352,6113,774,1874
Port Augusta (C),1268,1189,92,167
Port Lincoln (C),1007,851,86,115
Port Pirie City and Dists (M),1392,1231,211,216
Prospect (C),865,503,91,234
Renmark Paringa (DC),589,519,57,75
Robe (DC),43,29,7,10
Roxby Downs (M),83,50,5,0
Salisbury (C),11471,7728,962,2467
Southern Mallee (DC),81,52,9,11
Streaky Bay (DC),108,94,14,10
Tatiara (DC),226,156,21,24
Tea Tree Gully (C),4616,2650,540,907
The Coorong (DC),337,308,28,31
Tumby Bay (DC),128,89,24,10
Unley (C),1391,669,173,401
Victor Harbor (C),852,657,174,104
Wakefield (DC),464,362,41,49
Walkerville (M),263,166,27,69
Wattle Range (DC),610,556,108,80
West Torrens (C),2991,1884,312,863
Whyalla (C),1815,1741,220,308
Wudinna (DC),53,33,7,5
Yankalilla (DC),309,284,55,27
Yorke Peninsula (DC),619,610,119,46
Unincorporated SA,350,350,7,30
Albany (C),1978,1416,273,261
Armadale (C),5440,3782,522,910
Ashburton (S),208,164,5,19
Augusta-Margaret River (S),739,497,114,43
Bassendean (T),784,553,76,123
Bayswater (C),3511,2249,445,670
Belmont (C),2483,1668,208,459
Beverley (S),91,84,12,10
Boddington (S),85,78,11,5
Boyup Brook (S),61,47,6,10
Bridgetown-Greenbushes (S),246,167,53,23
Brookton (S),61,53,0,6
Broome (S),1586,1194,53,207
Broomehill-Tambellup (S),73,56,0,11
Bruce Rock (S),40,36,0,0
Bunbury (C),2008,1757,268,291
Busselton (C),1707,1168,282,167
Cambridge (T),575,240,56,175
Canning (C),4923,2339,538,1223
Capel (S),764,464,108,91
Carnamah (S),27,37,0,0
Carnarvon (S),656,562,20,95
Chapman Valley (S),61,50,0,5
Chittering (S),209,102,25,12
Claremont (T),285,113,22,95
