LGA name,Health Care Card,JobSeeker Payment,Low Income Card,Total Youth Allowance
Launceston (C),6679,4523,620,1389
Meander Valley (M),1263,923,181,176
Northern Midlands (M),918,680,126,131
Sorell (M),1175,795,136,171
Southern Midlands (M),496,323,44,87
Tasman (M),212,198,37,22
Waratah/Wynyard (M),984,770,152,143
West Coast (M),413,449,28,36
West Tamar (M),1669,1080,250,225
Alice Springs (T),3353,2345,45,376
Barkly (R),1542,1073,8,166
Belyuen (S),74,60,0,15
Central Desert (R),1174,802,0,145
Coomalie (S),166,147,0,12
Darwin (C),5531,3710,124,736
East Arnhem (R),2871,1983,5,329
Katherine (T),1412,983,9,214
Litchfield (M),1196,986,40,110
MacDonnell (R),1635,1191,0,229
Palmerston (C),3121,1907,72,433
Roper Gulf (R),1950,1283,9,247
Tiwi Islands (R),869,641,5,84
Victoria Daly (R),645,367,5,85
Wagait (S),38,33,0,10
West Arnhem (R),1937,1326,0,228
West Daly (R),1110,660,5,173
Unincorporated NT,644,459,8,61
Unincorporated ACT,19283,10179,1211,4930
Unincorp. Other Territories,177,133,6,16
Albury (C),3803,2626,284,878
Armidale Regional (A),2788,1470,111,938
Ballina (A),2467,1693,164,336
Balranald (A),119,62,14,8
Bathurst Regional (A),2566,1461,153,639
Bayside (A),8517,5529,486,1826
Bega Valley (A),1913,1490,204,255
Bellingen (A),977,806,58,136
Berrigan (A),513,353,78,45
Blacktown (C),25267,14880,1244,5220
Bland (A),288,164,18,27
Blayney (A),366,234,27,56
Blue Mountains (C),3608,2227,300,565
Bogan (A),178,107,5,10
Bourke (A),308,211,9,43
Brewarrina (A),209,163,5,26
Broken Hill (C),1234,1112,58,220
Burwood (A),1814,1094,99,508
Byron (A),3066,2484,145,370
Cabonne (A),606,348,33,65
Camden (A),5414,2499,250,895
Campbelltown (C) (NSW),14107,8366,638,2703
Canada Bay (A),2711,1601,171,583
Canterbury-Bankstown (A),31131,17923,1379,7081
Carrathool (A),131,81,10,23
Central Coast (C) (NSW),20791,14716,1191,3538
Central Darling (A),197,170,0,33
Cessnock (C),4228,3098,256,657
Clarence Valley (A),3758,3302,332,563
Cobar (A),152,129,5,20
Coffs Harbour (C),5426,4409,356,958
Coolamon (A),232,164,11,31
Coonamble (A),414,274,11,62
Cootamundra-Gundagai Regional (A),586,446,35,68
Cowra (A),808,671,51,122
Cumberland (A),19637,11299,798,4174
Dubbo Regional (A),3521,2246,182,530
Dungog (A),484,340,44,64
Edward River (A),583,404,31,70
Eurobodalla (A),2272,1919,240,303
Fairfield (C),20355,15508,923,5326
Federation (A),687,529,99,80
Forbes (A),590,400,40,57
Georges River (A),7491,4308,544,1771
Gilgandra (A),403,251,17,55
Glen Innes Severn (A),699,574,64,110
Goulburn Mulwaree (A),1635,1258,93,249
Greater Hume Shire (A),548,297,41,70
Griffith (C),1153,717,49,183
Gunnedah (A),817,538,31,149
Gwydir (A),391,210,23,44
Hawkesbury (C),2960,1978,173,527
Hay (A),155,107,9,21
Hilltops (A),1127,838,81,141
Hornsby (A),5078,2444,412,1289
Hunters Hill (A),264,169,14,60
Inner West (A),8476,6084,421,2167
Inverell (A),1506,955,93,242
Junee (A),298,203,22,50
Kempsey (A),2514,2005,154,431
Kiama (A),750,424,84,128
Ku-ring-gai (A),3267,1250,224,895
Kyogle (A),786,723,57,76
Lachlan (A),562,334,19,52
Lake Macquarie (C),11201,7326,914,2188
Lane Cove (A),986,508,50,229
Leeton (A),600,445,44,78
Lismore (C),3547,2788,226,637
Lithgow (C),1249,1002,94,157
Liverpool (C),18504,11319,816,4324
Liverpool Plains (A),539,436,25,60
Lockhart (A),155,83,10,20
Maitland (C),5445,3208,386,922
Mid-Coast (A),6416,5401,608,943
Mid-Western Regional (A),1347,990,92,164
Moree Plains (A),1158,811,32,187
Mosman (A),527,310,20,129
Murray River (A),692,391,118,65
Murrumbidgee (A),199,137,14,18
Muswellbrook (A),1022,759,49,173
Nambucca (A),1610,1477,116,241
Narrabri (A),902,636,46,134
Narrandera (A),401,288,20,53
Narromine (A),482,309,19,79
Newcastle (C),11875,6681,657,4101
North Sydney (A),1624,1048,76,367
Northern Beaches (A),6822,3966,333,1393
Oberon (A),275,196,15,22
Orange (C),2334,1460,140,513
Parkes (A),1074,692,64,155
Parramatta (C),13318,7243,855,3040
Penrith (C),13269,8082,664,2402
Port Macquarie-Hastings (A),5617,3690,383,1058
Port Stephens (A),4591,3279,353,726
Queanbeyan-Palerang Regional (A),2117,1328,122,273
Randwick (C),5267,3082,297,1675
Richmond Valley (A),1774,1247,137,306
Ryde (C),5553,2881,409,1460
Shellharbour (C),4257,3002,342,814
Shoalhaven (C),6039,4575,476,856
Singleton (A),1117,746,80,160
Snowy Monaro Regional (A),1000,723,84,112
Snowy Valleys (A),779,582,63,84
Strathfield (A),2122,1198,94,548
Sutherland Shire (A),7118,3897,449,1364
Sydney (C),9662,7211,468,2792
Tamworth Regional (A),4192,2782,213,671
Temora (A),325,179,33,42
Tenterfield (A),589,527,51,71
The Hills Shire (A),6462,2757,528,1491
Tweed (A),6320,4712,492,994
Upper Hunter Shire (A),664,481,45,68
Upper Lachlan Shire (A),346,224,34,40
Uralla (A),388,230,33,59
Wagga Wagga (C),4472,2380,259,1286
Walcha (A),205,129,15,23
Walgett (A),787,652,22,117
Warren (A),236,177,5,24
Warrumbungle Shire (A),754,558,27,100
Waverley (A),1967,1324,77,412
Weddin (A),187,146,19,23
Wentworth (A),509,404,45,61
Willoughby (C),2197,1084,155,563
Wingecarribee (A),1797,1017,148,259
Wollondilly (A),2204,1207,134,304
Wollongong (C),13347,8188,873,4065
Woollahra (A),1344,798,43,335
Yass Valley (A),544,317,35,84
Unincorporated NSW,53,30,0,5
Alpine (S),684,424,130,60
Ararat (RC),768,569,163,111
Ballarat (C),8616,4943,1427,1867
Banyule (C),6905,3538,1222,1541
Bass Coast (S),2672,1955,665,258
Baw Baw (S),3500,2063,736,491
Bayside (C),3213,1682,552,736
Benalla (RC),879,618,152,103
Boroondara (C),7002,2623,1048,2352
Brimbank (C),19641,12479,2350,3914
Buloke (S),359,265,41,38
Campaspe (S),2524,1697,449,298
Cardinia (S),7546,3803,1023,1307
Casey (C),27801,13903,3204,5440
Central Goldfields (S),1255,1003,249,163
Colac-Otway (S),1347,854,298,163
Corangamite (S),987,620,243,103
Darebin (C),10845,6587,1370,2537
East Gippsland (S),3775,2499,877,386
Frankston (C),9445,6552,1336,1673
Gannawarra (S),669,480,117,70
Glen Eira (C),6814,3207,957,1759
Glenelg (S),1328,1067,330,147
Golden Plains (S),1329,696,262,182
Greater Bendigo (C),8765,5330,1335,1973
Greater Dandenong (C),14100,8468,1734,3131
